epoch,loss,lr,val_loss
0,102.72151489291029,1e-04,4.384064641235679
1,52.3269121120225,1e-04,4.1185179778921315
2,50.3544617367819,1e-04,3.1476544797979513
3,48.526448518914265,1e-04,2.658251116901552
4,48.7361111499612,1e-04,3.1016826977944647
5,48.725465494705155,1e-04,2.8118387242581586
6,48.163478320630546,1e-04,2.3712274783219183
7,48.029112824640656,1e-04,2.823534967863644
8,48.47958082216878,1e-04,2.440782915408875
9,47.34822871056039,1e-04,2.5788373526930832
10,47.749953262394015,1e-04,2.4120260362301345
11,47.796030382164474,1e-04,3.1432639676917513
12,47.22751670362413,1e-04,2.6669815400096217
13,48.09055048144802,1e-04,3.1199179543775544
14,47.11189677391949,1e-04,3.6186621728586057
15,46.87596283520883,1e-04,3.579750240233392
16,46.82426195328637,1e-04,2.8686528299404945
